nom_subestacao,val_latitude,val_longitude,eh_gerador
FLORESTA II,-8.7491,-38.3425,0
GARANHUNS II,-8.8827,-36.4033,0
GARANHUNS II,-8.8827,-36.4033,0
GARANHUNS II,-8.8827,-36.4033,0
GOIANINHA,-7.5873,-35.0894,0
GOIANINHA,-7.5873,-35.0894,0
JABOATAO II,-8.1772,-34.9864,0
JABOATAO II,-8.1772,-34.9864,0
JOAIRAM,-8.0813,-34.9813,0
JOAIRAM,-8.0813,-34.9813,0
LAGOA DO CARRO,-7.8629,-35.3399,0
LAGOA DO CARRO,-7.8629,-35.3399,0
MATA NORTE,-7.6274,-34.9591,0
MATA NORTE,-7.6274,-34.9591,0
MIRUEIRA,-7.9551,-34.8913,0
MIRUEIRA,-7.9551,-34.8913,0
MIRUEIRA II,-7.9571,-34.8916,0
MIRUEIRA II,-7.9571,-34.8916,0
PARANATAMA,-8.9084,-36.7332,0
PAU FERRO,-7.8592,-35.0205,0
PAU FERRO,-7.8592,-35.0205,0
PAU FERRO,-7.8592,-35.0205,0
PETROLINA,-9.3974,-40.5,0
PIRAPAMA II,-8.2714,-35.0272,0
PIRAPAMA II,-8.2714,-35.0272,0
RECIFE II,-8.1145,-35.0368,0
RECIFE II,-8.1145,-35.0368,0
RIBEIRAO,-8.4698,-35.3973,0
RIBEIRAO,-8.4698,-35.3973,0
SUAPE II,-8.3896,-35.0473,0
SUAPE II,-8.3896,-35.0473,0
SUAPE III,-8.3981,-35.0165,0
SUAPE III,-8.3981,-35.0165,0
TACAIMBO,-8.3309,-36.2231,0
TACAIMBO,-8.3309,-36.2231,0
TACARATU,-9.0596,-38.1325,0
TERMOCABO,-8.2689,-35.0245,0
TERMOPERNAMBU,-8.3991,-34.9569,0
US. L.GONZAGA,-9.1427,-38.3101,0
UTE PECEM II,-7.8584,-35.016,1
UTE PERNAMB.3,-7.8585,-35.008,1
UTE SUAPE II,-8.352,-35.023,1
B. ESPERANCA,-6.7478,-43.567,0
B. ESPERANCA,-6.7478,-43.567,0
B. ESPERANCA,-6.7478,-43.567,0
BOM JESUS II,-9.1033,-44.3119,0
BOM JESUS II,-9.1033,-44.3119,0
CHAPADA I,-7.5625,-40.7154,0
CHAPADA I,-7.5625,-40.7154,0
CHAPADA II,-7.4761,-40.7583,0
CHAPADA III,-7.391,-40.6831,0
COL MARANGATU,-4.0822,-41.273,0
CURRAL PIAUI II,-8.0339,-40.6387,0
CURRAL PIAUI II,-8.0339,-40.6387,0
ELISEU MARTINS,-8.0987,-43.6705,0
ELISEU MARTINS,-8.0987,-43.6705,0
GILBUES II,-9.752,-45.3473,0
GILBUES II,-9.752,-45.3473,0
GILBUES II,-9.752,-45.3473,0
LAG. DOS VENTOS,-8.7345,-41.5109,0
LAG. DOS VENTOS,-8.7345,-41.5109,0
LAGOA BARRO I,-8.6737,-41.6057,0
LAGOA VENTOS 3,-8.8729,-41.5952,0
MARANGATU,-4.1382,-41.4589,0
OITIS,-9.0403,-41.7347,0
PARNAIBA III,-3.1228,-41.7636,0
PARNAIBA III,-3.1228,-41.7636,0
PARNAIBA III,-3.1228,-41.7636,0
PICOS,-7.1105,-41.414,0
PICOS,-7.1105,-41.414,0
PIRIPIRI,-4.2844,-41.755,0
PIRIPIRI,-4.2844,-41.755,0
PIRIPIRI,-4.2844,-41.755,0
QUEIMADA NOVA 2,-8.5884,-41.427,0
RIB.GONCALVES,-7.6323,-45.2063,0
RIB.GONCALVES,-7.6323,-45.2063,0
RIB.GONCALVES,-7.6323,-45.2063,0
S.JOAO PIAUI,-8.3574,-42.2289,0
S.JOAO PIAUI,-8.3574,-42.2289,0
S.JOAO PIAUI,-8.3574,-42.2289,0
SAO BASILIO,-7.3965,-40.5799,0
SAO GONCALO,-10.1039,-45.2824,0
TERESINA,-5.1285,-42.8008,0
TERESINA,-5.1285,-42.8008,0
TERESINA II,-5.2574,-42.7258,0
TERESINA II,-5.2574,-42.7258,0
TERESINA II,-5.2574,-42.7258,0
TERESINA III,-5.0886,-42.6873,0
TERESINA III,-5.0886,-42.6873,0
UB.ESPERANCA,-6.749,-43.5663,0
UB.ESPERANCA,-6.749,-43.5663,0
ACU II,-5.5931,-36.9079,0
ACU II,-5.5931,-36.9079,0
ACU II,-5.5931,-36.9079,0
ACU III,-5.579,-37.0297,0
ACU III,-5.579,-37.0297,0
ALEGRIA,-5.1243,-36.3833,0
AREIA BRANCA,-4.9637,-36.917,0
CARAUBAS II,-5.7119,-37.5089,0
CARAUBAS II,-5.7119,-37.5089,0
CARCARA II,-4.9814,-36.9967,0
CEARA MIRIM 2,-5.6733,-35.4514,0
CEARA MIRIM 2,-5.6733,-35.4514,0
CURR NOVOS II,-6.2654,-36.5451,0
CURR NOVOS II,-6.2654,-36.5451,0
CUTIA,-5.1194,-35.9289,0
EXTREMOZ II,-5.7378,-35.3042,0
EXTREMOZ II,-5.7378,-35.3042,0
GALINHOS,-5.1178,-36.1634,0
GAMELEIRA,-5.2418,-35.488,0
J. CAMARA III,-5.3798,-35.8862,0
J. CAMARA III,-5.3798,-35.8862,0
J. CAMARA III,-5.3798,-35.8862,0
J. CAMARA III,-5.3798,-35.8862,0
JANDAIRA II,-5.4111,-36.0195,0
JERUSALEM,-5.6597,-36.1217,0
JOAO CAMARA 2,-5.3021,-35.8752,0
JOAO CAMARA 2,-5.3021,-35.8752,0
LAGOA NOVA II,-6.0621,-36.5258,0
LAGOA NOVA II,-6.0621,-36.5258,0
MIASSABA 3,-5.1475,-36.4899,0
MONTE DO RONCA,-5.1763,-36.032,0
MONTE VERDE,-5.4464,-36.2155,0
MOSSORO II,-5.1499,-37.3498,0
MOSSORO II,-5.1499,-37.3498,0
MOSSORO IV,-4.854,-37.2909,0
MUNDO NOVO,-5.1854,-35.6493,0
NATAL II,-5.809,-35.2394,0
NATAL II,-5.809,-35.2394,0
NATAL III,-5.8717,-35.3169,0
NATAL III,-5.8717,-35.3169,0
