id_subsistema;nom_subsistema;id_estado;nom_estado;nom_agente_principal;id_subestacao;nom_subestacao;val_niveltensao;id_estacao;num_barra;val_latitude;val_longitude
N;Norte;MA;Maranhão;PARNAIBA I GERAÇÃO;MAUTP4;UT.PARNAIBA 4;500.0;MAUTP45A;94285;-4.8141;-44.3436
N;Norte;MA;Maranhão;PARNAÍBA G C;MAUTP5;UT.PARNAIBA V;500.0;MAUTP55A;90317;-4.8194;-44.3553
N;Norte;MA;Maranhão;ITAQUI GERACAO;MAUTPI;UT.POR.ITAQUI;230.0;MAUTPI2A;5610;-2.5246;-44.2961
N;Norte;MT;Mato Grosso;ENERGISA MT;MTSPA;SALTO PARAISO;138.0;MTSPA-1A;4469;-9.9455;-56.8319
N;Norte;PA;Pará;ELETRONORTE;PAAT;ALTAMIRA;69.0;PAAT--0A;6523;-3.1369;-52.1798
N;Norte;PA;Pará;ELETRONORTE;PAAT;ALTAMIRA;230.0;PAAT--2A;6521;-3.1369;-52.1798
N;Norte;PA;Pará;NORTE ENERGIA SA;PABM;BELO MONTE;500.0;PABM--5A;6730;-3.1268;-51.7750
N;Norte;PA;Pará;ELETRONORTE;PACJ;CARAJAS;138.0;PACJ--1A;6397;-5.9811;-49.8885
N;Norte;PA;Pará;ELETRONORTE;PACJ;CARAJAS;230.0;PACJ--2A;6407;-5.9811;-49.8885
N;Norte;PA;Pará;CASTANHAL;PACTH;CASTANHAL;138.0;PACN--1A;6485;-1.2958;-47.7867
N;Norte;PA;Pará;CASTANHAL;PACTH;CASTANHAL;230.0;PACTH-2A;6489;-1.2958;-47.7867
N;Norte;PA;Pará;TANGARÁ;PADELI;DOM ELISEU II;69.0;PADELI0A;44639;-4.3412;-47.5379
N;Norte;PA;Pará;TANGARÁ;PADELI;DOM ELISEU II;230.0;PADELI2A;44638;-4.3412;-47.5379
N;Norte;PA;Pará;ELETRONORTE;PAGM;GUAMA;69.0;PAGM--0D;90266;-1.4601;-48.4469
N;Norte;PA;Pará;ELETRONORTE;PAGM;GUAMA;69.0;PAGM--0F;90267;-1.4601;-48.4469
N;Norte;PA;Pará;ELETRONORTE;PAGM;GUAMA;69.0;PAGM--0H;6472;-1.4601;-48.4469
N;Norte;PA;Pará;ELETRONORTE;PAGM;GUAMA;230.0;PAGM--2A;6471;-1.4601;-48.4469
N;Norte;PA;Pará;ELETRONORTE;PAIG;INTEGRADORA;230.0;PAIG--2A;6561;-6.4389;-50.0221
N;Norte;PA;Pará;ELETRONORTE;PAIG;INTEGRADORA;500.0;PAIG--5A;6560;-6.4389;-50.0221
N;Norte;PA;Pará;ATE III;PAIT;ITACAIUNAS;138.0;PAIN--1A;8174;-5.4566;-49.1473
N;Norte;PA;Pará;ATE III;PAIT;ITACAIUNAS;230.0;PAIT--2A;6441;-5.4566;-49.1473
N;Norte;PA;Pará;ATE III;PAIT;ITACAIUNAS;500.0;PAIT--5A;6440;-5.4566;-49.1473
N;Norte;PA;Pará;LXTE;PAJRP;JURUPARI;69.0;PAJRP-0C;8255;-1.5455;-52.7694
N;Norte;PA;Pará;LXTE;PAJRP;JURUPARI;230.0;PAJRP-2A;8250;-1.5455;-52.7694
N;Norte;PA;Pará;LXTE;PAJRP;JURUPARI;500.0;PAJRP-5A;8200;-1.5455;-52.7694
N;Norte;PA;Pará;PARINTINS AMAZONAS;PAJUR;JURUTI;138.0;PAJUR-1A;8322;-2.2587;-56.0592
N;Norte;PA;Pará;PARINTINS AMAZONAS;PAJUR;JURUTI;230.0;PAJUR-2A;8321;-2.2587;-56.0592
N;Norte;PA;Pará;ELETRONORTE;PAMB;MARABA;69.0;PAMB--0A;6403;-5.1999;-49.0235
N;Norte;PA;Pará;ELETRONORTE;PAMB;MARABA;230.0;PAMB--2A;6401;-5.1999;-49.0235
N;Norte;PA;Pará;ELETRONORTE;PAMB;MARABA;500.0;PAMB--5A;6400;-5.1999;-49.0235
N;Norte;PA;Pará;EQUATORIAL 7;PAMAR;MARITUBA;69.0;PAMAR-0A;6662;-1.4109;-48.3608
N;Norte;PA;Pará;EQUATORIAL 7;PAMAR;MARITUBA;230.0;PAMAR-2A;6661;-1.4109;-48.3608
N;Norte;PA;Pará;EQUATORIAL 7;PAMAR;MARITUBA;500.0;PAMAR-5A;6660;-1.4109;-48.3608
N;Norte;PA;Pará;ELETRONORTE;PAMD;MIRAMAR;69.0;PAMD--0A;6713;-1.4112;-48.4868
N;Norte;PA;Pará;ELETRONORTE;PAMD;MIRAMAR;230.0;PAMD--2A;6710;-1.4112;-48.4868
N;Norte;PA;Pará;OURILANDIA;PAON;ONCA PUMA;138.0;PAON--1A;6567;-6.5771;-51.0925
N;Norte;PA;Pará;OURILANDIA;PAON;ONCA PUMA;230.0;PAON--2A;6565;-6.5771;-51.0925
N;Norte;PA;Pará;LMTE;PAORX;ORIXIMINA;138.0;PAORX-1A;8351;-1.5825;-55.7238
N;Norte;PA;Pará;LMTE;PAORX;ORIXIMINA;230.0;PAORX-2A;8311;-1.5825;-55.7238
N;Norte;PA;Pará;LMTE;PAORX;ORIXIMINA;500.0;PAORX-5A;8300;-1.5825;-55.7238
N;Norte;PA;Pará;ELETRONORTE;PARU;RUROPOLIS;138.0;PARU--1A;6542;-4.0739;-54.8975
N;Norte;PA;Pará;ELETRONORTE;PARU;RUROPOLIS;230.0;PARU--2A;6541;-4.0739;-54.8975
N;Norte;PA;Pará;ENERGISA PARÁ I;PASNA;SANT. ARAGUAIA;138.0;PASNA-1A;6563;-9.3271;-50.3917
N;Norte;PA;Pará;ENERGISA PARÁ I;PASNA;SANT. ARAGUAIA;230.0;PASNA-2A;6562;-9.3271;-50.3917
N;Norte;PA;Pará;ELETRONORTE;PASR;SANTA MARIA;69.0;PASR--0D;90270;-1.3423;-47.5698
N;Norte;PA;Pará;ELETRONORTE;PASR;SANTA MARIA;69.0;PASR--0A;6493;-1.3423;-47.5698
N;Norte;PA;Pará;ELETRONORTE;PASR;SANTA MARIA;138.0;PASR--1A;6492;-1.3423;-47.5698
N;Norte;PA;Pará;ELETRONORTE;PASR;SANTA MARIA;230.0;PASR--2A;6491;-1.3423;-47.5698
N;Norte;PA;Pará;NORTE ENERGIA SA;PAPM;SE PIMENTAL;230.0;PAPM--2A;6554;-3.4412;-51.9479
N;Norte;PA;Pará;NOVO ESTADO;PASPL;SERRA PELADA;138.0;PASPL-5B;6721;-6.0808;-49.6848
N;Norte;PA;Pará;NOVO ESTADO;PASPL;SERRA PELADA;500.0;PASPL-5A;6754;-6.0808;-49.6848
N;Norte;PA;Pará;EQUATORIAL 8;PATA2;TAPAJOS II;138.0;PATA2-1A;6553;-2.6168;-54.6758
N;Norte;PA;Pará;EQUATORIAL 8;PATA2;TAPAJOS II;230.0;PATA2-2A;6551;-2.6168;-54.6758
N;Norte;PA;Pará;ETEPA;PATE;TOME ACU;138.0;PATE--1A;6536;-2.3549;-48.1400
N;Norte;PA;Pará;ETEPA;PATE;TOME ACU;230.0;PATE--2A;6535;-2.3549;-48.1400
N;Norte;PA;Pará;ELETRONORTE;PATM;TRANSAMAZONIC;230.0;PATM--2A;6531;-3.7075;-53.7151
N;Norte;PA;Pará;ELETRONORTE;PATC;TUCURUI;69.0;PATC--0A;6413;-3.8238;-49.6546
N;Norte;PA;Pará;ELETRONORTE;PATC;TUCURUI;138.0;PATC--1A;6450;-3.8238;-49.6546
N;Norte;PA;Pará;ELETRONORTE;PATC;TUCURUI;230.0;PATC--2A;6416;-3.8238;-49.6546
N;Norte;PA;Pará;ELETRONORTE;PATC;TUCURUI;500.0;PATC--5A;6430;-3.8238;-49.6546
N;Norte;PA;Pará;NORTE ENERGIA SA;PAUPIM;UHE PIMENTAL;230.0;PAUPIM2A;93620;-3.4376;-51.9472
N;Norte;PA;Pará;CELBA 2;PANTB;UT NT BARCARENA;230.0;PANTB-2A;8422;-1.5487;-48.7456
N;Norte;PA;Pará;ELETRONORTE;PAUG;UTINGA;69.0;PAUG--0E;90283;-1.3356;-48.3808
N;Norte;PA;Pará;ELETRONORTE;PAUG;UTINGA;69.0;PAUG--0D;90282;-1.3356;-48.3808
N;Norte;PA;Pará;ELETRONORTE;PAUG;UTINGA;69.0;PAUG--0A;6482;-1.3356;-48.3808
N;Norte;PA;Pará;ELETRONORTE;PAUG;UTINGA;69.0;PAUG--0C;90281;-1.3356;-48.3808
N;Norte;PA;Pará;ELETRONORTE;PAUG;UTINGA;230.0;PAUG--2A;6481;-1.3356;-48.3808
N;Norte;PA;Pará;ELETRONORTE;PAVC;VILA DO CONDE;69.0;PAVC--0A;6463;-1.5720;-48.7331
N;Norte;PA;Pará;ELETRONORTE;PAVC;VILA DO CONDE;230.0;PAVC--2A;6461;-1.5720;-48.7331
N;Norte;PA;Pará;ELETRONORTE;PAVC;VILA DO CONDE;500.0;PAVC--5A;6460;-1.5720;-48.7331
N;Norte;PA;Pará;LXTE;PAXIN;XINGU;230.0;PAXNG-2A;8106;-3.1065;-51.6926
N;Norte;PA;Pará;LXTE;PAXIN;XINGU;500.0;PAXIN-5A;8100;-3.1065;-51.6926
N;Norte;PA;Pará;LXTE;PAXIN;XINGU;800.0;PAXNG-8A;95473;-3.1065;-51.6926
N;Norte;PA;Pará;ATLANTICO;PAXG;XINGUARA 2;138.0;PAXG--1A;6572;-7.0730;-49.9213
N;Norte;PA;Pará;ATLANTICO;PAXG;XINGUARA 2;230.0;PAXG--2A;6571;-7.0730;-49.9213
N;Norte;RR;Roraima;ELETRONORTE;RRBV;BOA VISTA;69.0;RRBV--0D;8853;2.9436;-60.7167
N;Norte;RR;Roraima;ELETRONORTE;RRBV;BOA VISTA;230.0;RRBV--2A;8851;2.9436;-60.7167
N;Norte;RR;Roraima;ELETRONORTE;RRBV;BOA VISTA;500.0;RRBV--5A;8850;2.9436;-60.7167
N;Norte;RR;Roraima;TRANSNORTE;RREQ;EQUADOR;500.0;RREQ--5A;8800;0.3677;-60.5084
N;Norte;RR;Roraima;AZULAO GERACAO;RRJII;JAGUATIRICA II;230.0;RRJII-2A;8883;2.9651;-60.6758
N;Norte;TO;Tocantins;ELETRONORTE;TOCO;COLINAS;138.0;TOCO--1A;7308;-7.9708;-48.4548
N;Norte;TO;Tocantins;ELETRONORTE;TOCO;COLINAS;500.0;TOCO--5A;7300;-7.9708;-48.4548
N;Norte;TO;Tocantins;ELETROBRAS;TOSTGU;GURUPI;138.0;TOSTGU1A;7107;-11.7356;-49.0117
N;Norte;TO;Tocantins;ELETROBRAS;TOSTGU;GURUPI;230.0;TOSTGU2A;7106;-11.7356;-49.0117
N;Norte;TO;Tocantins;ELETROBRAS;TOSTGU;GURUPI;500.0;TOSTGU5A;7100;-11.7356;-49.0117
N;Norte;TO;Tocantins;ELETRONORTE;TOMC;MIRACEMA;138.0;TOMC--1A;7202;-9.5409;-48.5213
N;Norte;TO;Tocantins;ELETRONORTE;TOMC;MIRACEMA;500.0;TOMC--5A;7200;-9.5409;-48.5213
N;Norte;TO;Tocantins;MIRACEMA;TOPAL;PALMAS;138.0;TOPAL-1A;7222;-10.1772;-48.2937
N;Norte;TO;Tocantins;MIRACEMA;TOPAL;PALMAS;230.0;TOPAL-2A;7221;-10.1772;-48.2937
N;Norte;TO;Tocantins;INTESA;TOPEI2;PEIXE 2;500.0;TOPEI25A;7113;-12.1632;-48.5519
N;Norte;TO;Tocantins;MIRACEMA;TOLJ;SE LAJEADO;230.0;TOLJ--2A;7207;-9.7471;-48.3666
N;Norte;TO;Tocantins;MIRACEMA;TOLJ;SE LAJEADO;500.0;TOLJ--5A;7204;-9.7471;-48.3666
NE;Nordeste;AL;Alagoas;CHESF;ALART;ARAPIRACA III;69.0;ALART-0A;6083;-9.7868;-36.6488
NE;Nordeste;AL;Alagoas;CHESF;ALART;ARAPIRACA III;230.0;ALART-2A;6081;-9.7868;-36.6488
NE;Nordeste;AL;Alagoas;CHESF;ALMCO;MACEIO;69.0;ALMCO-0E;5313;-9.5788;-35.7856
